City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
mar del plata,-38.0,-57.56,55.99,81,2,6.93,AR,2020-05-10
pochutla,15.74,-96.47,84.0,79,4,1.79,MX,2020-05-10
labuan,5.28,115.24,91.4,70,75,3.36,MY,2020-05-10
butaritari,3.07,172.79,83.8,76,16,6.96,KI,2020-05-10
puerto ayora,-0.74,-90.35,75.99,94,0,3.0,EC,2020-05-10
albany,42.6,-73.97,45.0,65,100,3.38,US,2020-05-10
jumla,29.27,82.18,63.41,42,60,4.43,NP,2020-05-10
mataura,-46.19,168.86,55.33,75,100,0.36,NZ,2020-05-10
rikitea,-23.12,-134.97,75.2,76,30,10.16,PF,2020-05-10
deputatskiy,69.3,139.9,26.38,99,100,7.29,RU,2020-05-10
kichera,55.94,110.1,39.69,70,67,6.17,RU,2020-05-10
ushuaia,-54.8,-68.3,42.8,81,40,10.29,AR,2020-05-10
nome,64.5,-165.41,53.6,50,90,11.41,US,2020-05-10
port elizabeth,-33.92,25.57,57.2,100,75,10.29,ZA,2020-05-10
vestmannaeyjar,63.44,-20.27,42.53,77,24,15.88,IS,2020-05-10
sao filipe,14.9,-24.5,72.91,74,4,7.07,CV,2020-05-10
eregli,37.51,34.05,58.32,44,59,2.06,TR,2020-05-10
cape town,-33.93,18.42,62.01,93,0,6.93,ZA,2020-05-10
airai,-8.93,125.41,73.71,68,32,4.43,TL,2020-05-10
sabang,5.89,95.32,82.47,78,100,5.93,ID,2020-05-10
atuona,-9.8,-139.03,81.14,78,22,14.29,PF,2020-05-10
chokurdakh,70.63,147.92,33.21,100,100,13.58,RU,2020-05-10
port alfred,-33.59,26.89,62.01,75,0,1.01,ZA,2020-05-10
port blair,11.67,92.75,87.3,67,100,10.22,IN,2020-05-10
kapaa,22.08,-159.32,75.2,78,90,18.34,US,2020-05-10
farnham,51.21,-0.8,39.99,64,31,16.11,GB,2020-05-10
sola,-13.88,167.55,84.2,70,75,6.93,VU,2020-05-10
mao,39.89,4.27,62.6,93,0,11.41,ES,2020-05-10
bluff,-46.6,168.33,54.34,81,100,8.01,NZ,2020-05-10
punta arenas,-53.15,-70.92,42.8,81,75,6.93,CL,2020-05-10
faanui,-16.48,-151.75,82.42,74,47,10.33,PF,2020-05-10
narsaq,60.92,-46.05,57.2,33,32,16.11,GL,2020-05-10
kununurra,-15.77,128.73,87.8,18,0,11.41,AU,2020-05-10
qaanaaq,77.48,-69.36,6.89,76,0,6.04,GL,2020-05-10
rosario,-32.95,-60.64,69.01,64,98,12.75,AR,2020-05-10
carnarvon,-24.87,113.63,77.45,51,0,7.78,AU,2020-05-10
severo-kurilsk,50.68,156.12,35.89,83,100,6.78,RU,2020-05-10
najran,17.49,44.13,71.6,49,0,3.18,SA,2020-05-10
saint-philippe,-21.36,55.77,71.6,60,75,6.93,RE,2020-05-10
arraial do cabo,-22.97,-42.03,71.33,69,0,21.85,BR,2020-05-10
baykit,61.67,96.37,62.35,45,76,8.08,RU,2020-05-10
isaccea,45.27,28.47,59.0,76,38,5.82,RO,2020-05-10
upernavik,72.79,-56.15,14.05,87,95,10.98,GL,2020-05-10
mae sai,20.43,99.88,89.01,70,55,3.36,TH,2020-05-10
asfi,32.3,-9.24,62.76,78,0,4.7,MA,2020-05-10
sao lourenco do sul,-31.37,-51.98,59.0,84,0,7.96,BR,2020-05-10
tiksi,71.69,128.87,30.06,98,99,13.24,RU,2020-05-10
hermanus,-34.42,19.23,54.0,95,0,1.97,ZA,2020-05-10
busselton,-33.65,115.33,70.0,47,69,4.12,AU,2020-05-10
laem sing,12.48,102.07,89.6,75,40,6.93,TH,2020-05-10
lebu,-37.62,-73.65,52.11,85,76,3.62,CL,2020-05-10
sebinkarahisar,40.29,38.42,44.24,61,43,1.05,TR,2020-05-10
tuktoyaktuk,69.45,-133.04,32.0,99,40,9.17,CA,2020-05-10
los llanos de aridane,28.66,-17.92,66.2,77,26,5.82,ES,2020-05-10
yellowknife,62.46,-114.35,39.2,48,20,4.7,CA,2020-05-10
okha,53.57,142.95,50.41,59,100,11.48,RU,2020-05-10
hilo,19.73,-155.09,80.6,57,20,8.05,US,2020-05-10
vaini,-21.2,-175.2,80.6,69,20,14.99,TO,2020-05-10
waipawa,-41.41,175.52,64.4,55,87,13.87,NZ,2020-05-10
san quintin,30.48,-115.95,63.0,83,28,9.8,MX,2020-05-10
castro,-24.79,-50.01,52.56,92,0,4.41,BR,2020-05-10
saskylakh,71.92,114.08,22.91,96,77,13.09,RU,2020-05-10
mpongwe,-13.51,28.16,51.93,96,59,4.65,ZM,2020-05-10
ponta delgada,37.73,-25.67,57.2,58,75,5.82,PT,2020-05-10
cartagena,10.4,-75.51,81.3,86,0,9.46,CO,2020-05-10
fairbanks,64.84,-147.72,80.6,28,1,12.75,US,2020-05-10
cabo san lucas,22.89,-109.91,73.0,76,14,14.5,MX,2020-05-10
husavik,66.04,-17.34,39.2,55,90,23.04,IS,2020-05-10
hofn,64.25,-15.21,41.2,60,1,13.47,IS,2020-05-10
ola,59.58,151.28,42.13,65,64,3.11,RU,2020-05-10
egvekinot,66.32,-179.17,32.65,100,100,3.56,RU,2020-05-10
khromtau,50.25,58.43,59.58,61,100,10.18,KZ,2020-05-10
baturaja,-4.13,104.17,88.93,62,67,1.68,ID,2020-05-10
redlands,34.06,-117.18,75.2,50,20,13.87,US,2020-05-10
hasaki,35.73,140.83,86.0,65,40,12.75,JP,2020-05-10
mareeba,-17.0,145.43,84.2,54,40,20.8,AU,2020-05-10
roanoke rapids,36.46,-77.65,54.0,76,1,5.82,US,2020-05-10
khatanga,71.97,102.5,31.17,99,97,5.35,RU,2020-05-10
lompoc,34.64,-120.46,54.0,87,90,6.93,US,2020-05-10
kenai,60.55,-151.26,53.6,81,1,12.75,US,2020-05-10
