City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
novoagansk,61.94,76.66,76.86,29,100,18.88,RU,2020-05-09
bubaque,11.28,-15.83,78.13,73,92,12.46,GW,2020-05-09
dois corregos,-22.37,-48.38,55.0,90,21,5.01,BR,2020-05-09
port alfred,-33.59,26.89,63.0,97,0,1.34,ZA,2020-05-09
rikitea,-23.12,-134.97,75.36,72,28,6.4,PF,2020-05-09
mataura,-46.19,168.86,50.72,87,66,3.47,NZ,2020-05-09
vaini,-21.2,-175.2,78.8,88,40,8.05,TO,2020-05-09
irpa irpa,-17.72,-66.27,48.2,66,0,1.03,BO,2020-05-09
port hueneme,34.15,-119.2,64.4,87,90,5.82,US,2020-05-09
riyadh,24.69,46.72,93.2,15,34,10.29,SA,2020-05-09
qaanaaq,77.48,-69.36,5.29,77,0,3.85,GL,2020-05-09
bluff,-46.6,168.33,55.54,82,26,11.45,NZ,2020-05-09
albany,42.6,-73.97,34.0,58,100,14.0,US,2020-05-09
atuona,-9.8,-139.03,80.4,78,100,18.07,PF,2020-05-09
kalanaur,28.83,76.4,107.85,11,0,4.32,IN,2020-05-09
kushiro,42.98,144.37,64.4,60,84,14.99,JP,2020-05-09
hithadhoo,-0.6,73.08,84.72,78,100,12.97,MV,2020-05-09
lujiang,31.26,117.28,62.6,82,75,11.18,CN,2020-05-09
coihaique,-45.58,-72.07,46.4,93,20,4.7,CL,2020-05-09
kapaa,22.08,-159.32,73.4,69,40,16.11,US,2020-05-09
qaqortoq,60.72,-46.03,50.0,19,0,21.92,GL,2020-05-09
ushuaia,-54.8,-68.3,42.8,87,40,4.76,AR,2020-05-09
carnarvon,-24.87,113.63,80.98,34,100,10.71,AU,2020-05-09
cayenne,4.93,-52.33,80.6,83,73,6.93,GF,2020-05-09
pecanha,-18.55,-42.56,57.52,100,100,2.46,BR,2020-05-09
cherskiy,68.75,161.3,37.6,78,0,6.08,RU,2020-05-09
zermatt,46.02,7.75,57.0,68,39,1.01,CH,2020-05-09
zhuhai,22.28,113.57,89.6,84,40,13.87,CN,2020-05-09
cape town,-33.93,18.42,70.0,93,0,1.12,ZA,2020-05-09
gizo,-8.1,156.84,83.57,79,91,6.42,SB,2020-05-09
saint george,37.1,-113.58,69.8,15,1,4.7,US,2020-05-09
leshan,29.56,103.76,74.34,37,63,4.25,CN,2020-05-09
provideniya,64.38,-173.3,35.44,85,7,15.93,RU,2020-05-09
khatanga,71.97,102.5,32.31,99,100,16.42,RU,2020-05-09
tuatapere,-46.13,167.68,53.74,81,60,6.11,NZ,2020-05-09
esperance,-33.87,121.9,60.8,59,90,8.05,AU,2020-05-09
porto novo,6.5,2.6,84.2,83,40,4.7,BJ,2020-05-09
ramanagaram,12.72,77.3,95.0,30,40,3.36,IN,2020-05-09
natal,-5.79,-35.21,75.2,94,75,4.7,BR,2020-05-09
